RS232
Time,RX,RX ERR,
-2.6001105E-05,(,,
6.0678896E-05,A,,
1.4744690E-04,P,,
2.3421490E-04,P,,
3.2102690E-04,),,
4.0770690E-04,(,,
4.9438690E-04,I,,
5.8106690E-04,N,,
6.6777990E-04,F,,
7.5447090E-04,O,,
8.4119490E-04,),,
9.2778690E-04,F,,
1.0144669E-03,i,,
1.1011469E-03,r,,
1.1878269E-03,m,,
1.2745949E-03,w,,
1.3613629E-03,a,,
1.4480869E-03,r,,
1.5347669E-03,e,,
1.6215349E-03,space,,
1.7083029E-03,v,,
1.7949829E-03,e,,
1.8816189E-03,r,,
1.9683869E-03,space,,
2.0551549E-03,space,,
2.1418789E-03,space,,
2.2286029E-03,:,,
2.3152829E-03,space,,
2.4019629E-03,1,,
2.4886869E-03,9,,
2.5753229E-03,.,,
2.6620469E-03,4,,
2.7488589E-03,.,,
2.8355829E-03,1,,
2.9223509E-03,0,,
3.0090309E-03,space,,
3.0956669E-03,S,,
3.1823469E-03,v,,
3.2691149E-03,n,,
3.3558829E-03,r,,
3.4425189E-03,e,,
3.5292429E-03,v,,
3.6158789E-03,space,,
3.7026469E-03,1,,
3.7892829E-03,2,,
3.8760509E-03,5,,
3.9628629E-03,7,,
4.0495429E-03,7,,
4.1363109E-03,LF,,
4.2229909E-03,CR,,
4.3097149E-03,(,,
4.3964389E-03,A,,
4.4831189E-03,P,,
4.5698869E-03,P,,
4.6565669E-03,),,
4.7433789E-03,(,,
4.8300149E-03,I,,
4.9167279E-03,N,,
5.0033749E-03,F,,
5.0901429E-03,O,,
5.1767789E-03,),,
5.2635029E-03,F,,
5.3502269E-03,i,,
5.4370389E-03,r,,
5.5237189E-03,m,,
5.6103989E-03,w,,
5.6970789E-03,a,,
5.7838029E-03,r,,
5.8705709E-03,e,,
5.9572509E-03,space,,
6.0439749E-03,B,,
6.1307869E-03,u,,
6.2174669E-03,i,,
6.3041469E-03,l,,
6.3908269E-03,d,,
6.4775949E-03,space,,
6.5642749E-03,M,,
6.6509549E-03,a,,
